method	variables	site	depth	rmse
regression kriging	"Elevation, soil moisture, vegetation type"	birkhowe	1	22.54
ordinary kriging	None	birkhowe	1	22.79
cokriging	"Elevation, soil moisture, vegetation PCA axes"	birkhowe	1	22.93
regression kriging	"Elevation, soil moisture, vegetation type"	birkhowe	2	18.52
ordinary kriging	None	birkhowe	2	19.72
cokriging	"Elevation, soil moisture, vegetation PCA axes"	birkhowe	2	19.47
regression kriging	"Elevation, soil moisture, vegetation type"	birkhowe	3	69.32
ordinary kriging	None	birkhowe	3	
cokriging	"Elevation, soil moisture, vegetation PCA axes"	birkhowe	3	53.35
regression kriging	"Elevation, soil moisture, vegetation type"	hollins	1	12.43
ordinary kriging	None	hollins	1	
cokriging	"Elevation, soil moisture, vegetation PCA axes"	hollins	1	16.16
regression kriging	"Elevation, soil moisture, vegetation type"	hollins	2	11.57
ordinary kriging	None	hollins	2	25.36
cokriging	"Elevation, soil moisture, vegetation PCA axes"	hollins	2	18.75
regression kriging	"Elevation, soil moisture, vegetation type"	hollins	3	NA
ordinary kriging	None	hollins	3	4.82
cokriging	"Elevation, soil moisture, vegetation PCA axes"	hollins	3	9.61
regression kriging	"Elevation, soil moisture, vegetation type"	lowsnab	1	15.44
ordinary kriging	None	lowsnab	1	22.08
cokriging	"Elevation, soil moisture, vegetation PCA axes"	lowsnab	1	21.87
regression kriging	"Elevation, soil moisture, vegetation type"	lowsnab	2	28.25
ordinary kriging	None	lowsnab	2	44.73
cokriging	"Elevation, soil moisture, vegetation PCA axes"	lowsnab	2	42.94
regression kriging	"Elevation, soil moisture, vegetation type"	lowsnab	3	32.89
ordinary kriging	None	lowsnab	3	44.64
cokriging	"Elevation, soil moisture, vegetation PCA axes"	lowsnab	3	35.08
