gps_id,elevation,eastings,northings
1,170,307271,516970
2,172,307252,516894
3,145,307384,516793
5,135,307884,516793
6,135,308176,516811
7,135,308225,516791
8,125,308120,516667
9,135,308265,516579
10,125,307997,516528
11,140,308389,516244
12,136,308324,516249
13,135,308226,516163
14,135,308217,516120
15,132,308175,516237
16,131,308104,516260
17,135,308339,516458
18,135,308366,516477
20,135,308394,516436
21,135,308392,516402
22,135,308330,516401
23,135,308330,516401
25,150,307370,516808
26,140,307390,516784
27,135,307406,516749
29,218,306363,518336
30,215,306388,518266
31,212,306450,518159
32,212,306466,518189
34,209,306508,518192
35,208,306529,518206
36,200,308762,517741
37,210,308704,517770
38,220,308740,517829
39,230,308682,517893
40,250,308664,518029
41,255,308707,518108
42,95,306500,515919
43,95,306532,515902
44,94,306574,515938
45,94,306607,515964
46,100,306647,515912
47,100,306723,515917
48,633,314205,515755
49,600,314129,515685
50,550,314030,515643
51,520,313929,515629
52,490,313842,515634
53,400,313695,515472
59,115,306674,515711
61,110,306645,515756
63,110,306648,515798
65,110,306665,515813
66,105,306698,515839
67,100,306667,515876
